"Region","Data book"
"Belgorod Region","Belgorod Region"
"Bryansk Region","Bryansk Region"
"Vladimir Region","Vladimir Region"
"Voronezh Region","Voronezh Region"
"Ivanovo Region","Ivanovo Region"
"Kaluga Region","Kaluga Region"
"Kostroma Region","Kostroma Region"
"Kursk Region","Kursk Region"
"Lipetsk Region","Lipetsk Region"
"Moscow","c. Moscow"
"Moscow Region","Moscow Region"
"Oryol Region","Oryol Region"
"Ryazan Region","Ryazan Region"
"Smolensk Region","Smolensk Region"
"Tambov Region","Tambov Region"
"Tver Region","Tver Region"
"Tula Region","Tula Region"
"Yaroslavl Region","Yaroslavl Region"
"Kirov Region","Kirov Region"
"Nizhny Novgorod Region","Nizhny Novgorod Region"
"Orenburg Region","Orenburg Region"
"Penza Region","Penza Region"
"Perm Krai","Perm Krai"
"Republic of Bashkortostan","Rep. of Bashkortostan"
"Republic of Mari El","Republic of Mari El"
"Republic of Mordovia","Republic of Mordovia"
"Republic of Tatarstan","Republic of Tatarstan"
"Samara Region","Samara Region"
"Saratov Region","Saratov Region"
"Udmurt Republic","Udmurt Republic"
"Ulyanovsk Region","Ulyanovsk Region"
"Chuvash Republic","Chuvash Republic"
"Arkhangelsk Region","Arkhangelsk Region"
"Vologda Region","Vologda Region"
"Kaliningrad Region","Kaliningrad Region"
"Leningradskaya Region","Leningradskaya Region"
"Murmansk Region","Murmansk Region"
"Nenets Autonomous Okrug","Nenets Autonomous Okrug"
"Novgorod Region","Novgorod Region"
"Pskov Region","Pskov Region"
"Republic of Karelia","Republic of Karelia"
"Komi Republic","Komi Republic"
"Saint Petersburg","c. Saint Petersburg"
"Astrakhan Region","Astrakhan Region"
"Volgograd Region","Volgograd Region"
"Krasnodar Krai","Krasnodar Krai"
"Republic of Adygea","Republic of Adygea"
"Republic of Kalmykia","Republic of Kalmykia"
"Republic of Crimea","Republic of Crimea"
"Rostov Region","Rostov Region"
"Sevastopol","c. Sevastopol"
"Altai Krai","Altai Krai"
"Irkutskaya Region","Irkutskaya Region"
"Kemerovo Region","Kemerovo Region"
"Krasnoyarsk Krai","Krasnoyarsk Krai"
"Novosibirsk Region","Novosibirsk Region"
"Omsk Region","Omsk Region"
"Altai Republic","Altai Republic"
"Republic of Tyva","Republic of Tyva"
"Republic of Khakassia","Republic of Khakassia"
"Tomsk Region","Tomsk Region"
"Kurgan Region","Kurgan Region"
"Sverdlovsk Region","Sverdlovsk Region"
"Tyumen Region","Tyumen Region w/o AO"
"Khanty-Mansiysk Autonomous Okrug","Khanty-Mansiysk AO-Ugra"
"Chelyabinsk Region","Chelyabinsk Region"
"Yamalo-Nenets Autonomous Okrug","Yamalo-Nenets AO"
"Amur Region","Amur Region"
"Jewish Autonomous Region","Jewish Autonomous Region"
"Trans-Baikal Territory","Trans-Baikal Territory"
"Kamchatka Krai","Kamchatka Krai"
"Magadan Region","Magadan Region"
"Primorsky Krai","Primorsky Krai"
"Republic of Buryatia","Republic of Buryatia"
"Republic of Sakha (Yakutia)","Republic of Sakha (Yakutia)"
"Sakhalin Region","Sakhalin Region"
"Khabarovsk Krai","Khabarovsk Krai"
"Chukotka Autonomous Okrug","Chukotka AO"
"Kabardino-Balkarian Republic","Kabardino-Balkarian Republic"
"Karachay-Cherkess Republic","Karachay-Cherkess Republic"
"Republic of Dagestan","Republic of Dagestan"
"Republic of Ingushetia","Republic of Ingushetia"
"Republic of North Ossetia","Republic of North Ossetia-Alania"
"Stavropol Krai","Stavropol Krai"
"Chechen Republic","Chechen Republic"
